product_id,name,description,price,stock_quantity,category_id
1,Mobile Phone,Portable communication device with internet access and apps. ,7498.65,28,1
2,Laptop,Compact computer for personal and professional use.,2100.47,69,1
3,Smart Watch,Wearable device for tracking fitness and notifications. ,2784.21,72,1
4,Headphones,Audio device for listening to music or calls privately. ,6992.1,18,1
5,Tablet,Touchscreen device for media consumption and productivity. ,1181.34,95,1
6,Shirt,Upper body garment with sleeves and a collar. ,5909.62,32,2
7,Dress,One-piece garment for formal or casual wear. ,602.58,68,2
8,Shoes,Footwear for protection and style. ,2334.15,30,2
9,Jacket,Outerwear garment for warmth and protection. ,619.66,53,2
10,Jeans,Durable pants made from denim fabric. ,3369.91,61,2
11,Air Conditioner,Device for cooling and controlling indoor climate. ,1095.39,99,3
12,Washing Machine,Appliance for washing clothes automatically. ,1460.92,71,3
13,Refrigerator,Appliance for storing food at low temperatures. ,9781.32,21,3
14,Microwave,Appliance for quickly heating and cooking food. ,4128.38,61,3
15,Vacuum Cleaner,Device for cleaning floors by suction. ,4826.74,26,3
16,Novel,Long work of fiction with a complex plot. ,7583.52,37,4
17,Textbook,Educational book used for studying and reference. ,3279.56,83,4
18,Comics,Illustrated stories or graphic novels. ,685.71,99,4
19,Biography,Detailed account of a person's life. ,985.66,74,4
20,Science Fiction,Fiction genre involving futuristic or scientific concepts. ,2398.98,95,4
21,Skincare Cream,Product for moisturizing and improving skin health. ,7258.87,5,5
22,Shampoo,Hair care product for cleansing and conditioning hair. ,9140.97,23,5
23,Lipstick,Cosmetic product for coloring and defining lips. ,4237.06,23,5
24,Perfume,Fragrant liquid applied to the body for scent. ,9345.83,5,5
25,Hair Dryer,Device for drying and styling hair with hot air. ,9972,51,5
26,Dumbbells,Weights used for strength training exercises. ,7900.81,24,6
27,Treadmill,Exercise machine for walking or running indoors. ,9372.43,38,6
28,Yoga Mat,Cushioning surface for practicing yoga and stretching. ,8779.76,2,6
29,Protein Powder,Supplement for increasing dietary protein intake. ,3054.08,78,6
30,Exercise Bike,Stationary bike for cardiovascular workouts. ,1162.28,43,6
31,Rice,Staple grain used in a variety of dishes. ,2917.16,83,7
32,Wheat Flour,Ground flour used in baking and cooking. ,5478.67,64,7
33,Pulses,Edible seeds like lentils and beans. ,8903.67,18,7
34,Spices,Flavoring substances used in cooking. ,8525.49,60,7
35,Cooking Oil,Fat used for frying and baking. ,2801.09,15,7
36,Toy Car,Miniature vehicle for children to play with. ,3373.77,94,8
37,Doll,Toy figure representing a human or animal. ,4643.25,33,8
38,Building Blocks,Interlocking pieces for constructing structures. ,7214.12,2,8
39,Crib,Bed for infants with safety features. ,7392.52,38,8
40,Baby Stroller,Wheeled carriage for transporting infants. ,5721.03,97,8
41,Car Tyre,Rubber covering for vehicle wheels. ,2012.3,79,9
42,Motor Oil,Lubricant for engine performance and maintenance. ,8575.85,52,9
43,Car Battery,Power source for starting and operating a vehicle. ,8287.2,66,9
44,Bike Helmet,Protective headgear for cycling safety. ,3346.47,52,9
45,Car Vacuum Cleaner,Portable vacuum for cleaning vehicle interiors. ,6725.63,24,9
46,Sofa,Comfortable seating for multiple people.,9818.68,62,10
47,Dining Table,Table used for meals in a dining area. ,3303.66,32,10
48,Chair,Single-seat furniture for sitting. ,167.62,50,10
49,Bed,Furniture for sleeping and resting ,2431.66,97,10
50,Wardrobe,Storage unit for clothes and accessories. ,2743.24,43,10
